frame,angry,disgust,fear,happy,neutral,sad,surprise
0,0.20507320296019316,0.07207494345493615,0.14303402276709676,0.4524353425949812,97.83052206039429,1.2575908564031124,0.03927228972315788
1,0.21865889430046082,0.06205748068168759,0.19401805475354195,0.8859887719154358,97.76709079742432,0.8356255479156971,0.03656225453596562
2,0.14546866295859218,0.24435617960989475,0.35201720893383026,0.8282043039798737,14.116299152374268,84.25092697143555,0.06272295140661299
3,0.1642016228288412,0.09181351633742452,0.34282105043530464,0.7446294650435448,98.35734963417053,0.24915265385061502,0.05004018894396722
4,0.10786334751173854,0.123691710177809,0.22486827801913023,1.2144166976213455,97.92270064353943,0.31771461945027113,0.08874331833794713
5,0.22476825397461653,0.1402423600666225,0.4272541031241417,0.5490495357662439,98.07432889938354,0.5451476201415062,0.03920966119039804
6,0.27441109996289015,0.13315530959516764,0.43577831238508224,0.58702128008008,97.96872138977051,0.5629267077893019,0.037977410829626024
7,0.08930496405810118,0.12912413803860545,0.20929723978042603,0.9555980563163757,98.26100468635559,0.28833975084125996,0.06733157206326723
8,0.10822637705132365,0.10558541398495436,0.16768249915912747,1.1269466020166874,98.1919527053833,0.24180961772799492,0.057799339992925525
9,0.13315352844074368,0.10065142996609211,0.4213135689496994,0.8820826187729836,97.94274568557739,0.4721587523818016,0.04790220700670034
10,0.15761401737108827,0.11085867881774902,0.4367374815046787,1.0576777160167694,97.73602485656738,0.43682833202183247,0.06425319006666541
11,0.09302051621489227,0.11218527797609568,0.19488967955112457,1.2966650538146496,97.8807806968689,0.35445671528577805,0.06801137351430953
12,0.09017837001010776,0.09603259968571365,0.2514640102162957,0.9535609744489193,98.23718667030334,0.30513510573655367,0.0664501276332885
13,0.10506602702662349,0.08684355998411775,0.22741472348570824,0.7397791836410761,98.5547661781311,0.22588460706174374,0.060254306299611926
14,0.09658569470047951,0.0995642738416791,0.19075608579441905,0.7528392132371664,98.56891632080078,0.22039753384888172,0.07093435851857066
15,0.12632153229787946,0.05792711745016277,0.23793517611920834,0.6938382051885128,98.57250452041626,0.26611615903675556,0.045352341840043664
16,0.14270126121118665,0.07748528150841594,0.36536469124257565,1.0527958162128925,97.9088842868805,0.4114539362490177,0.041317875729873776
17,0.10459509212523699,0.08383678505197167,0.3556170267984271,0.9156385436654091,98.16214442253113,0.32479006331413984,0.05338194314390421
18,0.09278461220674217,0.08231737883761525,0.24330755695700645,1.2076198123395443,97.97873497009277,0.3332918044179678,0.0619487080257386
19,0.126112368889153,0.11686490615829825,0.3301128279417753,10.792509466409683,87.61258721351624,0.9366921149194241,0.08512284839525819
20,0.02517827961128205,0.042253395076841116,0.033875551889650524,99.39601421356201,0.30910870991647243,0.053608743473887444,0.1399711356498301
21,0.08988410700112581,0.10323795722797513,0.23914158809930086,3.2790564000606537,95.78133821487427,0.4130973946303129,0.09423785959370434
22,0.30699262861162424,0.16163088148459792,0.8002331480383873,1.010497473180294,88.95843625068665,8.723894506692886,0.03831337671726942
23,0.1403413130901754,0.09161676280200481,0.68626101128757,1.7882224172353745,94.66496706008911,2.5829723104834557,0.04562683461699635
24,0.11808691779151559,0.0903273990843445,0.2920209430158138,1.823672465980053,97.05014824867249,0.572811858728528,0.05292747518979013
25,0.2043979475274682,0.08922862471081316,0.46411389485001564,0.9148210287094116,97.21651673316956,1.074412651360035,0.03650984144769609
